unit,nace_r2,indic_se,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 
PC,B-S,MMW_MEAN_ME_PP,MT	41.1 	41.7 	44.0 	42.6 	43.6 	45.4 	45.7 	44.6 	46.3 	45.8 	46.9 	46.3 	45.7 	49.3 	47.5 	50.5 	50.5 
PC,B-S,MMW_MEAN_ME_PP,NL	: 	: 	43.3 	43.3 	43.3 	43.0 	42.7 	43.3 	43.4 	43.4 	43.8 	44.3 	44.1 	44.2 	: 	: 	: 
PC,B-S,MMW_MEAN_ME_PP,NO	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: 	: 	: 
PC,B-S,MMW_MEAN_ME_PP,PL	: 	: 	46.2 	46.3 	47.3 	46.2 	45.4 	45.1 	44.3 	43.1 	41.3 	41.4 	41.7 	38.8 	: 	: 	: 
PC,B-S,MMW_MEAN_ME_PP,PT	: 	51.1 	50.0 	49.4 	48.5 	46.3 	44.5 	44.9 	43.1 	43.3 	42.6 	42.8 	43.2 	44.6 	: 	: 	: 
PC,B-S,MMW_MEAN_ME_PP,RO	: 	: 	43.9 	44.4 	44.6 	42.4 	40.4 	38.4 	35.8 	34.2 	35.8 	32.3 	33.3 	30.1 	: 	: 	: 
PC,B-S,MMW_MEAN_ME_PP,RS	: 	: 	47.9 	47.8 	46.3 	44.6 	46.3 	43.7 	44.4 	45.8 	44.1 	44.9 	46.4 	35.7 	: 	: 	: 
PC,B-S,MMW_MEAN_ME_PP,SE	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: 	: 	: 
PC,B-S,MMW_MEAN_ME_PP,SI	: 	: 	50.5 	50.1 	49.4 	49.8 	50.8 	51.2 	51.4 	50.0 	49.0 	47.5 	41.1 	41.0 	: 	: 	: 
PC,B-S,MMW_MEAN_ME_PP,SK	: 	: 	41.2 	40.7 	39.3 	38.6 	37.9 	36.4 	36.9 	36.7 	36.6 	36.6 	36.5 	34.7 	: 	: 	: 
PC,B-S,MMW_MEAN_ME_PP,TR	: 	: 	64.6 	51.3 	: 	: 	: 	59.7 	: 	: 	: 	50.0 	: 	: 	: 	: 	: 
PC,B-S,MMW_MEAN_ME_PP,UK	: 	: 	45.9 	45.1 	44.6 	44.0 	40.8 	40.1 	39.3 	39.3 	38.7 	38.2 	38.4 	38.1 	: 	: 	: 
PC,B-S,MMW_MEAN_ME_PP,US	: 	: 	: 	: 	: 	: 	: 	: 	30.3 	30.9 	31.5 	32.1 	30.8 	28.4 	: 	: 	: 
PC,B-S,MMW_MED_ME_PP,AL	: 	: 	70.1 	72.2 	68.9 	66.7 	66.4 	99.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,B-S,MMW_MED_ME_PP,AT	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: 	: 	: 
PC,B-S,MMW_MED_ME_PP,BE	: 	: 	: 	: 	: 	: 	: 	50.8 	: 	: 	: 	50.9 	: 	: 	: 	: 	: 
PC,B-S,MMW_MED_ME_PP,BG	: 	: 	: 	62.5 	: 	: 	: 	58.7 	: 	: 	: 	49.9 	: 	: 	: 	: 	: 
PC,B-S,MMW_MED_ME_PP,CY	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: 	: 	: 
PC,B-S,MMW_MED_ME_PP,DE	47.4 	47.0 	47.7 	47.3 	48.7 	47.4 	48.6 	: z	: z	: z	: z	: z	: z	: z	: 	: 	: 
PC,B-S,MMW_MED_ME_PP,DK	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: 	: 	: 
PC,B-S,MMW_MED_ME_PP,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	63.8 	51.4 	64.5 	61.6 	: 	: 	: 
PC,B-S,MMW_MED_ME_PP,ES	: 	: 	: 	44.2 	43.3 	40.6 	40.0 	40.1 	41.3 	41.5 	41.4 	41.1 	41.8 	42.1 	: 	: 	: 
PC,B-S,MMW_MED_ME_PP,FI	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: 	: 	: 
PC,B-S,MMW_MED_ME_PP,FR	: 	: 	: 	59.8 	59.3 	60.0 	59.5 	59.7 	60.1 	60.3 	59.1 	59.6 	59.4 	59.7 	: 	: 	: 
PC,B-S,MMW_MED_ME_PP,IE	: 	: 	56.3 	: 	: 	: 	: 	42.5 	: 	: 	: z	47.7 	45.0 	46.6 	: 	: 	: 
PC,B-S,MMW_MED_ME_PP,IS	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: 	: 	: 
PC,B-S,MMW_MED_ME_PP,IT	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: 	: 	: 
PC,B-S,MMW_MED_ME_PP,LT	: 	: 	: 	52.0 	: 	: 	: 	54.9 	: 	: 	: 	53.0 	: 	: 	: 	: 	: 
PC,B-S,MMW_MED_ME_PP,LU	: 	59.7 	59.7 	59.4 	59.1 	58.3 	59.1 	59.8 	59.6 	58.6 	58.2 	56.8 	56.3 	: 	: 	: 	: 
PC,B-S,MMW_MED_ME_PP,LV	: 	: 	51.8 	55.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,B-S,MMW_MED_ME_PP,MT	51.8 	50.1 	50.3 	51.4 	52.3 	54.3 	54.2 	53.1 	52.7 	53.1 	54.2 	53.5 	54.4 	56.7 	56.1 	56.6 	56.6 
PC,B-S,MMW_MED_ME_PP,NL	: 	: 	51.2 	51.4 	51.2 	50.9 	50.2 	50.6 	50.7 	51.1 	51.8 	50.5 	51.4 	51.7 	: 	: 	: 
PC,B-S,MMW_MED_ME_PP,NO	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: 	: 	: 
PC,B-S,MMW_MED_ME_PP,PT	: 	68.7 	67.4 	67.7 	67.4 	66.2 	63.6 	64.1 	61.4 	62.4 	62.2 	59.7 	58.3 	: 	: 	: 	: 
PC,B-S,MMW_MED_ME_PP,SE	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: 	: 	: 
PC,B-S,MMW_MED_ME_PP,SK	: 	: 	50.7 	50.6 	49.1 	48.8 	48.2 	46.1 	46.4 	46.0 	46.7 	46.4 	46.1 	43.8 	: 	: 	: 
PC,B-S,MMW_MED_ME_PP,TR	: 	: 	88.7 	70.4 	: 	: 	: 	91.9 	: 	: 	: 	82.6 	: 	: 	: 	: 	: 
PC,B-S,MMW_MED_ME_PP,UK	: 	: 	56.3 	55.5 	54.5 	53.7 	49.6 	48.9 	48.3 	48.4 	47.9 	47.2 	47.2 	47.3 	: 	: 	: 
