currency,geo\time	2021S1 	2020S2 	2020S1 	2019S2 	2019S1 	2018S2 	2018S1 	2017S2 	2017S1 	2016S2 	2016S1 	2015S2 	2015S1 	2014S2 	2014S1 	2013S2 	2013S1 	2012S2 	2012S1 	2011S2 	2011S1 	2010S2 	2010S1 	2009S2 	2009S1 	2008S2 	2008S1 	2007S2 	2007S1 	2006S2 	2006S1 	2005S2 	2005S1 	2004S2 	2004S1 	2003S2 	2003S1 	2002S2 	2002S1 	2001S2 	2001S1 	2000S2 	2000S1 	1999S2 	1999S1 
NAC,NO	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
NAC,PL	2800.00 	2600.00 	2600.00 	2250.00 	2250.00 	2100.00 	2100.00 	2000.00 	2000.00 	1850.00 	1850.00 	1750.00 	1750.00 	1680.00 	1680.00 	1600.00 	1600.00 	1500.00 	1500.00 	1386.00 	1386.00 	1317.00 	1317.00 	1276.00 	1276.00 	1126.00 	1126.00 	936.00 	936.00 	899.00 	899.00 	849.00 	849.00 	824.00 	824.00 	800.00 	800.00 	760.00 	760.00 	760.00 	760.00 	700.00 	670.00 	650.00 	650.00 
NAC,PT	775.83 	740.83 	740.83 	700.00 	700.00 	676.67 	676.67 	649.83 	649.83 	618.33 	618.33 	589.17 	589.17 	565.83 	565.83 	565.83 	565.83 	565.83 	565.83 	565.83 	565.83 	554.17 	554.17 	525.00 	525.00 	497.00 	497.00 	470.17 	470.17 	449.98 	449.98 	437.15 	437.15 	425.95 	425.95 	416.03 	416.03 	406.01 	406.01 	389.89 	389.89 	371.27 	371.27 	356.72 	356.72 
NAC,RO	2230.00 	2230.00 	2230.00 	2080.00 	2080.00 	1900.00 	1900.00 	1450.00 	1250.00 	1250.00 	1050.00 	1050.00 	975.00 	900.00 	850.00 	800.00 	700.00 	700.00 	700.00 	670.00 	670.00 	600.00 	600.00 	600.00 	600.00 	500.00 	500.00 	390.00 	390.00 	330.00 	330.00 	310.00 	310.00 	280.00 	280.00 	250.00 	250.00 	175.00 	140.00 	140.00 	100.00 	70.00 	45.00 	45.00 	35.00 
NAC,RS	43044.00 	40502.00 	40502.00 	36365.00 	36408.00 	33355.21 	33813.12 	30586.31 	30612.84 	28378.89 	28403.28 	28403.28 	28430.53 	26941.23 	26975.75 	26975.75 	27205.93 	27205.93 	24066.76 	24066.76 	22458.66 	21217.57 	21323.02 	20578.37 	20643.08 	18409.13 	16510.70 	14897.29 	12796.01 	12519.82 	11753.30 	10475.77 	9837.00 	8942.73 	7920.70 	6740.32 	6241.03 	5616.93 	4608.38 	2932.00 	401.72 	471.38 	387.21 	387.21 	387.21 
NAC,SE	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
NAC,SI	1024.24 	940.58 	940.58 	886.63 	886.63 	842.79 	842.79 	804.96 	804.96 	790.73 	790.73 	790.73 	790.73 	789.15 	789.15 	783.66 	783.66 	763.06 	763.06 	748.10 	748.10 	734.15 	597.43 	589.19 	589.19 	566.50 	538.53 	521.80 	521.80 	511.60 	511.60 	490.32 	490.32 	465.21 	465.21 	432.49 	432.49 	395.07 	395.07 	352.27 	352.27 	321.36 	309.89 	284.69 	284.69 
NAC,SK	623.00 	580.00 	580.00 	520.00 	520.00 	480.00 	480.00 	435.00 	435.00 	405.00 	405.00 	380.00 	380.00 	352.00 	352.00 	337.70 	337.70 	327.00 	327.00 	317.00 	317.00 	307.70 	307.70 	295.50 	295.50 	268.87 	268.87 	252.27 	252.27 	229.04 	229.04 	215.76 	215.76 	201.82 	201.82 	184.89 	184.89 	163.31 	163.31 	146.05 	146.05 	132.78 	132.78 	119.50 	99.58 
NAC,TR	3577.50 	2943.00 	2943.00 	2558.40 	2558.40 	2029.50 	2029.50 	1777.50 	1777.50 	1647.00 	1647.00 	1273.50 	1201.50 	1134.00 	1071.00 	1021.50 	978.60 	940.50 	886.50 	837.00 	796.50 	760.50 	729.00 	693.40 	666.00 	638.70 	608.40 	585.00 	562.50 	531.00 	531.00 	488.70 	488.70 	444.15 	423.00 	306.00 	306.00 	250.88 	222.00 	167.90 	139.95 	118.80 	109.80 	93.60 	78.08 
NAC,UK	: 	1444.66 	1360.16 	1360.16 	1300.00 	1300.00 	1242.00 	1243.00 	1193.00 	1193.00 	1110.00 	1074.00 	1074.00 	1043.00 	1043.00 	1020.00 	1020.00 	1004.00 	1004.00 	978.00 	978.00 	956.00 	956.00 	948.00 	948.00 	911.00 	911.00 	883.00 	883.00 	831.00 	831.00 	800.00 	800.00 	743.00 	743.00 	692.00 	692.00 	675.00 	675.00 	610.00 	610.00 	592.00 	592.00 	592.00 	: z
NAC,US	1256.67 	1256.67 	1256.67 	1256.67 	1256.67 	1256.67 	1256.67 	1256.67 	1256.67 	1256.67 	1256.67 	1256.67 	1256.67 	1256.67 	1256.67 	1256.67 	1256.67 	1256.67 	1256.67 	1256.67 	1256.67 	1256.67 	1256.67 	1135.33 	1135.33 	1014.00 	1014.00 	892.67 	892.67 	892.67 	892.67 	892.67 	892.67 	892.67 	892.67 	892.67 	892.67 	892.67 	892.67 	892.67 	892.67 	892.67 	892.67 	892.67 	892.67 
PPS,AL	423.81 e	367.3 e	367.3 e	367.30 	367.30 	337.24 	337.24 	341.09 	312.67 	313.26 	313.26 	325.90 	325.90 	313.43 	313.43 	316.22 	301.85 	308.95 	294.24 	285.01 	270.76 	268.90 	254.75 	251.00 	237.05 	243.95 	229.60 	203.41 	203.41 	205.38 	173.11 	176.00 	161.09 	160.12 	149.15 	147.67 	137.98 	136.71 	110.24 	111.50 	102.97 	103.46 	94.29 	93.11 	84.65 
PPS,AT	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PPS,BE	1411.83 e	1411.83 e	1384.12 e	1384.12 	1384.12 	1364.64 	1364.64 	1367.07 	1340.25 	1350.80 	1324.25 	1350.38 	1350.38 	1349.90 	1349.90 	1342.18 	1342.18 	1321.21 	1295.29 	1298.36 	1272.90 	1246.52 	1246.52 	1241.73 	1241.73 	1205.20 	1181.57 	1161.74 	1140.01 	1122.80 	1122.80 	1107.57 	1107.57 	1082.60 	1082.60 	1082.75 	1061.49 	1074.32 	1053.28 	1041.33 	1020.91 	1004.54 	1004.54 	969.51 	950.53 
PPS,BG	623.1 e	584.76 e	584.76 e	536.83 	536.83 	504.12 	504.12 	459.29 	459.29 	432.06 	432.06 	390.65 	370.09 	352.16 	352.16 	311.72 	311.72 	286.29 	266.55 	235.85 	235.85 	231.47 	231.47 	228.26 	228.26 	219.00 	219.00 	191.21 	191.21 	178.06 	178.06 	179.01 	179.01 	146.70 	146.70 	140.47 	140.47 	126.34 	126.34 	107.66 	100.06 	100.05 	89.38 	91.17 	83.00 
PPS,CH	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PPS,CY	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PPS,CZ	788.46 e	757.34 e	757.34 e	692.50 	692.50 	643.73 	643.73 	592.37 	592.37 	535.99 	535.99 	504.51 	504.51 	471.68 	471.68 	438.66 	438.66 	432.67 	432.67 	434.22 	434.22 	433.53 	433.53 	433.74 	433.74 	432.96 	432.96 	435.31 	435.31 	428.47 	407.73 	393.71 	393.71 	364.39 	364.39 	341.30 	341.30 	306.99 	306.99 	278.59 	278.59 	247.30 	219.82 	199.86 	180.43 
PPS,DE	1503.59 e	1475.64 e	1475.64 e	1450.49 	1450.49 	1412.51 	1412.51 	1405.65 	1405.65 	1343.75 	1343.75 	1345.20 	1345.20 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PPS,DK	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PPS,EE	684.450 e	684.450 e	684.450 e	632.89 	632.89 	599.29 	599.29 	581.11 	581.11 	545.44 	545.44 	503.06 	503.06 	458.08 	458.08 	416.54 	416.54 	384.25 	384.25 	374.65 	374.65 	380.69 	380.69 	375.12 	375.12 	367.94 	367.94 	313.82 	313.82 	275.13 	275.13 	262.32 	262.32 	247.52 	247.52 	220.37 	220.37 	188.81 	188.81 	161.91 	161.91 	148.94 	148.94 	133.15 	133.15 
PPS,EL	878.68 e	878.68 e	878.68 e	878.68 	792.27 	789.39 	789.39 	786.54 	786.54 	779.47 	779.47 	775.07 	775.07 	770.44 	770.44 	739.58 	739.58 	710.98 	911.51 	898.52 	884.38 	884.27 	884.27 	904.86 	857.68 	855.38 	855.38 	825.19 	785.14 	787.05 	787.05 	744.57 	744.57 	712.92 	712.92 	699.70 	699.70 	688.06 	675.90 	644.14 	634.62 	612.66 	603.61 	590.18 	582.03 
PPS,ES	1151.020 e	1151.020 e	1151.020 e	1090.45 	1090.45 	890.04 	890.04 	871.28 	871.28 	801.27 	801.27 	797.6 e	797.6 e	781.87 	781.87 	772.87 	772.87 	754.59 	754.59 	748.77 	748.77 	741.21 	741.21 	734.56 	734.56 	721.93 	721.93 	690.42 	690.42 	669.70 	669.70 	637.16 	637.16 	610.71 	573.01 	577.02 	577.02 	575.24 	575.24 	559.04 	559.04 	546.53 	546.53 	534.96 	534.96 
